number,hex,name
040 70 40,D7957C,Apricot red
040 70 50,E78D6F,Fruit red
040 80 05,CDC3BF,Natural silk grey
040 80 10,D5C2B9,Thulite rose
040 80 20,E5BEAF,Madder orange
040 80 30,F0B8A3,Nature apricot
040 85 05,DCD0CB,Pandora grey
040 85 10,E3CFC5,Fine alabaster
040 85 20,F0CAB9,Delicate sweet apricot
040 90 05,ECE0D9,Sahara light red
040 90 10,F1DFD3,Delicate rose
040 93 05,F2E8E1,Natural white
050 20 10,3A3028,Granite brown
050 20 16,3F2D21,Night brown
050 30 10,4C4137,Obsidian brown
050 30 20,573F2D,Tropical wood brown
050 30 30,613C26,Tobacco brown
050 30 36,663B20,Rosewood brown
050 40 10,675A50,Mocha black
050 40 20,6E5644,Florentine brown
050 40 30,775239,Curry brown
050 40 40,7F4D2A,Madeira brown
050 40 50,8A4924,Autumn red
050 50 10,7F7469,Teakwood brown
050 50 20,89705C,Milk coffee brown
050 50 30,936B4F,Golden brown
050 50 40,9C6543,Copper-metal red
050 50 50,A66136,Gold varnish brown
050 50 60,AA5A2A,Titian red
050 50 70,B7510E,Poppy red
050 50 78,BE5B1C,Persian orange
050 60 10,988B7F,Ecru ochre
050 60 20,A28671,Caramel brown
050 60 30,B18466,Medium brown
050 60 40,B77F59,Apricot brown
050 60 50,C37C4D,Orange yellow
050 60 60,CD763E,Camel red
050 60 70,D16C31,Carrot orange
050 60 80,DC6621,Gerbera red
050 70 10,B5A79C,Bamboo beige
050 70 20,C0A48E,Amber grey
050 70 30,CB9F80,Sienna ochre
050 70 40,D79A73,Light amber orange
050 70 50,DF9566,Melon red
050 70 60,E98F57,Mango orange
050 80 10,D2C3B6,Pale sienna
050 80 20,DDBEA6,Soft orange
050 80 30,E8B999,Pallid orange
050 85 05,DDD1C9,Ocean sand
050 85 10,DDCDBF,Pure beige
050 85 20,EBCBB2,Biscuit cream
050 90 05,E9DED5,Eggshell white
050 90 10,F4E1D3,Light peach rose
050 93 05,F3EAE2,Tulle white
060 20 05,35322F,Industrial black
060 30 05,4A453F,Vehicle body grey
060 30 10,4D4338,Nutria fur brown
060 30 20,54422D,Peat brown
060 30 27,5B4125,Cassiterite brown
060 40 05,615D56,Zinc grey
060 40 10,655A4E,Moor oak grey
060 40 20,6E5A42,Coffee bean brown
060 40 30,755735,Brazilian brown
060 40 40,7F562B,Plane brown
060 50 05,7A756D,Chinchilla grey
060 50 10,7E7466,Sandstone grey
060 50 20,877259,Mushroom brown
060 50 30,92704D,Mustard brown
060 50 40,986C3D,Camel brown
060 50 50,A06932,Date fruit brown
060 50 60,A36217,Elm brown red
060 50 70,AC630F,Dry clay
060 60 05,959088,Screed grey
060 60 10,9A8E80,Oak brown
060 60 20,A48B71,Light topaz ochre
060 60 30,AC8A64,Cognac brown
060 60 40,B88B55,Maple syrup brown
060 60 50,B98044,Turmeric red
060 60 60,C27E32,Bitter orange
060 60 70,C87A1E,Gold orange
060 60 80,D27610,Accent orange
060 70 05,B0AAA2,Cement greige
060 70 10,B5A99A,Putty grey
060 70 20,BDA68A,Peanut butter
060 70 30,C4A079,Peach yellow
060 70 40,D1A16F,Candle yellow
060 70 50,D89D5F,Topaz yellow
060 70 60,DD974C,Melon orange
060 70 70,E79539,Indian yellow
060 80 05,CCC6BC,Light chamois beige
060 80 10,D0C3B4,Soft greige
060 80 20,DBC2A5,Biscuit beige
